"","ID","Year","Major","Assignment","TeamProject","Midterm","Final","Attendance","Total"
"1","2200000I",1,"GLS",10,16,19,21,1,-20
"2","2200000C",1,"GLS",10,13,10.95,9.3,10,53.25
"3","2200000G",1,"GLS",9.85,18,10.65,18.6,10,67.1
"4","2210000A",1,"GLS",9.95,17,27.15,28.5,10,92.6
"5","2210000B",1,"GLS",9.95,17,22.05,25.8,10,84.8
"6","2210000C",1,"GLS",9.6,16,10.35,7.8,9,52.75
"7","2210000D",1,"GLS",10,16,1.8,6,9,42.8
"8","2210000E",1,"GLS",10,16,7.8,7.8,10,51.6
"9","2210000F",1,"GLS",9.9,16,15,9.9,9,59.8
"10","2200000A",2,"LifeSci",10,13,17.25,21.3,8,69.55
"11","2200000B",2,"ComArt",9.75,13,6.3,5.1,10,44.15
"12","2200000D",2,"ContDes",10,18,26.85,23.7,10,88.55
"13","2200000E",2,"ContDes",9.6,18,9.15,6.75,9,52.5
"14","2200000F",2,"ManEcon",9.75,18,16.05,18.75,10,72.55
"15","2200000H",2,"ComArt",9.9,17,9.45,7.2,10,53.55
"16","2200000I",2,"ManEcon",9.95,17,12.75,9.6,10,59.3
"17","2160000C",3,"CounSoci",8.8,12,13.65,8.1,10,52.55
"18","2170000F",3,"ComElec",9.9,18.5,24.45,26.7,10,89.55
"19","2180000D",3,"IntLan",10,19,21.9,23.4,9,83.3
"20","2180000H",3,"IntLan",9.95,20,23.25,20.7,7,80.9
"21","2180000I",3,"ContDes",4.9,20,14.85,6,10,55.75
"22","2190000A",3,"ComElec",9.9,14,23.55,20.85,10,78.3
"23","2190000B",3,"ContDes",0.9,14,4.95,6.3,8,34.15
"24","2190000C",3,"IntLan",9.4,14,22.2,16.2,10,71.8
"25","2190000D",3,"ManEcon",8.2,13,4.2,4.5,9,38.9
"26","2150000A",4,"ManEcon",5,0,17.55,16.8,6,45.35
"27","2150000B",4,"CounSoci",8.6,0,4.65,1.8,10,25.05
"28","2150000C",4,"Law",8.7,0,18.75,18,9,54.45
"29","2150000D",4,"ManEcon",9.7,0,24.45,20.4,10,64.55
"30","2150000E",4,"ComElec",9.8,12,27.3,27.9,9,86
"31","2160000A",4,"SpaSys",8.7,12,27.45,11.7,5,64.85
"32","2160000B",4,"ComElec",10,12,19.8,26.1,10,77.9
"33","2160000D",4,"ContDes",9.9,17,11.25,19.05,9,66.2
"34","2160000E",4,"IntLan",9.9,17,17.25,20.1,10,74.25
"35","2170000A",4,"IntLan",10,17,22.2,18.9,10,78.1
"36","2170000B",4,"CounSoci",10,17,27.3,27.6,10,91.9
"37","2170000C",4,"CounSoci",9.95,18.5,26.1,25.5,10,90.05
"38","2170000D",4,"ICT",9.95,18.5,19.65,27,8,83.1
"39","2170000E",4,"ComArt",5,18.5,11.85,12.6,9,56.95
"40","2170000G",4,"ManEcon",9.9,12.8,28.05,20.4,10,81.15
"41","2170000H",4,"LifeSci",9.3,12.8,16.5,11.7,10,60.3
"42","2180000A",4,"ComElec",10,12.8,23.85,25.5,10,82.15
"43","2180000B",4,"ManEcon",9.9,12.8,25.35,24.45,9,81.5
"44","2180000C",4,"Law",10,19,22.05,26.1,10,87.15
"45","2180000E",4,"Law",9.75,19,18.15,23.7,9,79.6
"46","2180000F",4,"Law",9.75,19,9,2.7,6,46.45
"47","2180000G",4,"CreCon",9.45,20,10.35,6.6,8,54.4
"48","2180000J",4,"ComArt",8.75,20,19.95,14.4,8,71.1
"49","2180000K",4,"ManEcon",7.25,12,18.45,8.1,10,55.8
"50","2180000L",4,"ManEcon",9.55,14,22.65,26.4,10,82.6
